,Word,Frequency
0,Witnesses,1
1,to,10
2,the,27
3,End,1
4,of,10
5,America,2
6,’,18
7,s,8
8,Longest,1
9,War,2
10,Afghan,1
11,Military,2
12,Pilots,1
13,",",17
14,on,4
15,Run,1
16,Feel,1
17,Abandoned,1
18,by,4
19,U.S.,4
20,Advertisement,5
21,The,9
22,Untold,1
23,Story,2
24,Sushi,1
25,in,5
26,With,4
27,Cases,2
28,Piling,1
29,Up,3
30,an,1
31,Eviction,1
32,Crisis,1
33,Unfolds,1
34,Step,2
35,Biden,1
36,administration,1
37,is,1
38,‘,5
39,prepared,1
40,defend,1
41,vaccine,1
42,rules,1
43,for,6
44,big,1
45,employers,1
46,surgeon,1
47,general,1
48,says,1
49,.,10
50,International,1
51,travelers,1
52,eagerly,1
53,await,1
54,reunions,1
55,with,1
56,their,1
57,loved,1
58,ones,1
59,as,3
60,travel,1
61,changes,1
62,near,1
63,hot,2
64,spots,2
65,›,3
66,Vaccinations,1
67,Global,1
68,Other,2
69,trackers,2
70,:,5
71,Choose,1
72,your,1
73,own,1
74,places,1
75,New,3
76,York,2
77,City,2
78,Marathon,3
79,Returns,1
80,Fanfare,1
81,and,12
82,Optimism,1
83,Emotion,1
84,Grit,1
85,Power,1
86,Kenyans,1
87,Marcel,1
88,Hug,1
89,Madison,1
90,de,2
91,Rozario,1
92,won,1
93,wheelchair,1
94,races,1
95,Astroworld,1
96,Victims,1
97,Include,1
98,High,1
99,Schoolers,1
100,a,14
101,College,1
102,Student,1
103,To,1
104,Steer,1
105,China,2
106,Future,1
107,Xi,1
108,Is,7
109,Rewriting,1
110,Its,1
111,Past,1
112,Weekender,1
113,Stunning,1
114,Grandeur,1
115,Soviet-Era,1
116,Metros,1
117,Did,2
118,you,1
119,follow,1
120,news,1
121,this,1
122,week,1
123,?,8
124,Take,2
125,our,1
126,quiz,1
127,Your,3
128,Easy,1
129,No-Sweat,1
130,Guide,2
131,Picking,1
132,Wines,1
133,Thanksgiving,1
134,“,1
135,Saturday,1
136,Night,1
137,Live,1
138,”,1
139,had,1
140,new,2
141,Donald,1
142,Trump,1
143,played,1
144,James,1
145,Austin,1
146,Johnson,2
147,A,2
148,book,1
149,lyrics,1
150,reveals,1
151,great,1
152,deal,1
153,about,2
154,what,1
155,Paul,2
156,McCartney,1
157,thinks,1
158,life,1
159,music,1
160,Michelle,1
161,Cottle,1
162,Who,3
163,Won,1
164,What,3
165,Bipartisan,1
166,Infrastructure,1
167,Deal,1
168,Annaliese,1
169,Griffin,1
170,How,5
171,Buy,1
172,Nothing,1
173,This,3
174,Holiday,1
175,Gifting,1
176,Season,1
177,Ross,1
178,Douthat,1
179,I,4
180,Became,1
181,Extremely,1
182,Open-Minded,1
183,Maureen,1
184,Dowd,1
185,On,2
186,Wokeness,1
187,Elections,1
188,Jane,1
189,Coaston,1
190,Body,2
191,Shaming,2
192,Dressed,1
193,Fitness,1
194,Goal,1
195,Still,1
196,Tom,1
197,Morello,1
198,Shadows,1
199,Klan,1
200,Ghost,1
201,Hendrix,1
202,Fans,1
203,Think,1
204,m,1
205,White,1
206,Tish,1
207,Harrison,1
208,Warren,1
209,Covid,1
210,Raised,1
211,Stakes,1
212,Between,1
213,Faith,1
214,Science,1
215,Angel,1
216,Hsu,1
217,No,1
218,Hasn,1
219,t,2
220,Given,1
221,Climate,2
222,Lauren,1
223,Kelley,1
224,Tell,2
225,Us,1
226,Abortion,1
227,Jay,1
228,Caspian,1
229,Kang,1
230,Forgotten,1
231,Nursing-Home,1
232,Tragedy,1
233,Krugman,1
234,Great,2
235,Resignation,1
236,Rethink,1
237,Lindsay,1
238,Crouse,1
239,ve,2
240,Learned,1
241,From,1
242,Running,1
243,Marathons,1
244,Ellen,1
245,Sirleaf,1
246,Do,1
247,You,2
248,People,1
249,Africa,1
250,That,2
251,They,1
252,Must,1
253,Leave,1
254,Their,1
255,Homes,1
256,or,2
257,Drown,1
258,Jessica,1
259,Grose,1
260,Big,1
261,Kid,1
262,Vaccines,1
263,Are,2
264,Here,1
265,!,1
266,Sunday,1
267,Read,1
268,Listen,1
269,Argument,1
270,Attend,1
271,Hub,1
272,Can,1
273,We,2
274,Have,1
275,Healthy,1
276,Conversations,1
277,Online,1
278,Anxious,1
279,Avoidant,1
280,Secure,1
281,Foreman,1
282,Says,1
283,Jury,1
284,Was,4
285,Disgusted,1
286,C.I.A,1
287,Torture,1
288,An,1
289,8-Year-Old,1
290,Explains,1
291,Metaverse,1
292,Turtle,1
293,Pool,1
294,Fight,1
295,Save,1
296,Puerto,2
297,Rico,2
298,Beaches,1
299,Spain,1
300,Camino,1
301,Santiago,1
302,Even,1
303,Óscar,1
304,Donkey,1
305,Pilgrim,1
306,$,2
307,50,1
308,Million,1
309,Donation,1
310,One,1
311,H.B.C.U,1
312,Wants,1
313,Hang,1
314,Out,1
315,Eric,1
316,Adams,1
317,Everyone,1
318,French,1
319,Clerical,1
320,Abuse,1
321,Report,1
322,Puts,1
323,Spotlight,1
324,Confession,1
325,Antarctica,1
326,Once,1
327,Land,1
328,Fire,1
329,Not,1
330,Ice,1
331,Ex-Diplomat,1
332,Comes,1
333,Under,2
334,Criticism,1
335,Trip,1
336,Myanmar,1
337,Nicaragua,1
338,Descends,1
339,Into,1
340,Autocratic,1
341,Rule,1
342,Ortega,1
343,Crushes,1
344,Dissent,1
345,Why,1
346,Does,1
347,Daylight,1
348,Saving,1
349,Time,2
350,Exist,1
351,Questions,1
352,Answered,1
353,Canelo,1
354,Álvarez,1
355,Boxing,1
356,King,1
357,Target,1
358,Promoters,1
359,Michael,1
360,Rutter,1
361,Pioneering,1
362,Child,1
363,Psychiatrist,1
364,Dead,1
365,at,1
366,88,1
367,Our,1
368,Favorite,1
369,Gifts,1
370,Make,1
371,Life,1
372,Little,1
373,Better,1
374,Well,1
375,Getting,1
376,Through,1
377,Holidays,1
378,Part,2
379,Worst,1
380,Week,1
381,Health,1
382,Quiz,1
383,Baby,1
384,Way,1
385,It,1
386,Embrace,1
387,My,2
388,Disability,1
389,Two,1
390,Octogenarians,1
391,Commit,1
392,Living,1
393,Apart,1
394,Together,1
395,Race,1
396,Director,1
397,Spends,1
398,His,1
399,Sundays,1
400,Dexter,1
401,Shows,1
402,Wouldn,1
403,Die,1
404,Book,2
405,Review,1
406,Constitution,1
407,Pro-Slavery,1
408,Neediest,1
409,Never,1
410,Had,1
411,Own,1
412,Before,2
413,Classic,1
414,Deviled,1
415,Eggs,1
416,Mashed,1
417,Potatoes,1
418,Three-Cup,1
419,Chicken,1
420,Three-Cheese,1
421,Cauliflower,1
422,Casserole,1
423,Simple,1
424,Roast,1
425,Turkey,1
426,Removable,1
427,Wallpaper,1
428,Love,1
429,Best,2
430,Headphones,1
431,100,1
432,Some,1
433,Black,2
434,Friday,2
435,Deals,1
436,Will,1
437,Come,1
438,Learn,1
439,More,1
440,About,1
441,Wirecutter,1
442,Spelling,1
443,Bee,1
444,Crossword,1
445,Letter,1
446,Boxed,1
447,Tiles,1
448,Vertex,1
